song,artist
Easy On Me,Adele
Stay,The Kid LAROI & Justin Bieber
Industry Baby,Lil Nas X & Jack Harlow
Fancy Like,Walker Hayes
Bad Habits,Ed Sheeran
Way 2 Sexy,Drake Featuring Future & Young Thug
Shivers,Ed Sheeran
Good 4 U,Olivia Rodrigo
Need To Know,Doja Cat
Levitating,Dua Lipa
Essence,Wizkid Featuring Justin Bieber & Tems
Kiss Me More,Doja Cat Featuring SZA
Heat Waves,Glass Animals
Beggin',Maneskin
Cold Heart (PNAU Remix),Elton John & Dua Lipa
You Right,Doja Cat & The Weeknd
Save Your Tears,The Weeknd & Ariana Grande
If I Didn't Love You,Jason Aldean & Carrie Underwood
Traitor,Olivia Rodrigo
My Universe,Coldplay x BTS
Who Want Smoke__,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage"
Knife Talk,Drake Featuring 21 Savage & Project Pat
Meet Me At Our Spot,THE ANXIETY_ WILLOW & Tyler Cole
Montero (Call Me By Your Name),Lil Nas X
Chasing After You,Ryan Hurd With Maren Morris
Girls Want Girls,Drake Featuring Lil Baby
Moth To A Flame,Swedish House Mafia & The Weeknd
Let's Go Brandon,Bryson Gray Featuring Tyson James & Chandler Crump
Thats What I Want,Lil Nas X
Pepas,Farruko
Love Nwantiti (Ah Ah Ah),CKay
Take My Breath,The Weeknd
Happier Than Ever,Billie Eilish
Wockesha,Moneybagg Yo
Better Days,NEIKED X Mae Muller X Polo G
Buy Dirt,Jordan Davis Featuring Luke Bryan
Ghost,Justin Bieber
Lets Go Brandon,Loza Alexander
Cold As You,Luke Combs
A-O-K,Tai Verdes
You Should Probably Leave,Chris Stapleton
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson _Paak)
Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter
Memory I Don't Mess With,Lee Brice
Bubbly,Young Thug With Drake & Travis Scott
Wild Side,Normani Featuring Cardi B
Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk
Gyalis,Capella Grey
I Was On A Boat That Day,Old Dominion
Family Ties,Baby Keem & Kendrick Lamar
Have Mercy,Chloe
Fair Trade,Drake Featuring Travis Scott
Same Boat,Zac Brown Band
My Boy,Elvie Shane
Hurricane,Kanye West
Chosen,Blxst & Tyga Featuring Ty Dolla $ign
Baddest,"Yung Bleu, Chris Brown & 2 Chainz"
Knowing You,Kenny Chesney
Memory,Kane Brown X blackbear
Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs
Not In The Mood,"Lil Tjay, Fivio Foreign & Kay Flock"
Pissed Me Off,Lil Durk
Woman,Doja Cat
Sand In My Boots,Morgan Wallen
'Til You Can't,Cody Johnson
Love Again,Dua Lipa
Whiskey And Rain,Michael Ray
One Mississippi,Kane Brown
Switches & Dracs,Moneybagg Yo Featuring Lil Durk & EST Gee
Jugaste y Sufri,Eslabon Armado Featuring DannyLux
Too Easy,Gunna & Future
Esta Danada,Ivan Cornejo
Volvi,Aventura x Bad Bunny
Tequila Little Time,Jon Pardi
Whole Lotta Money,BIA Featuring Nicki Minaj
2055,Sleepy Hallow
Maybach,42 Dugg Featuring Future
WFM,Realestk
Poke It Out,Wale Featuring J_ Cole
Praise God,Kanye West
Lo Siento BB__,"Tainy, Bad Bunny & Julieta Venegas"
Freedom Was A Highway,Jimmie Allen & Brad Paisley
For Tonight,Giveon
Thot Shit,Megan Thee Stallion
Like A Lady,Lady A
Get Into It (Yuh),Doja Cat
Scorpio,Moneybagg Yo
Big Energy,Latto
Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney
Money,Lisa
No Friends In The Industry,Drake
"Ya Superame (En Vivo Desde Culiacan, Sinaloa)",Grupo Firme
Who's In Your Head,Jonas Brothers
In The Bible,Drake Featuring Lil Durk & Giveon
Just About Over You,Priscilla Block
To Be Loved By You,Parker McCollum
Ain't Shit,Doja Cat
Life Goes On,Oliver Tree
Come Through,H_E_R_ Featuring Chris Brown
Nevada,YoungBoy Never Broke Again
Easy On Me,Adele
Stay,The Kid LAROI & Justin Bieber
Industry Baby,Lil Nas X & Jack Harlow
Fancy Like,Walker Hayes
Bad Habits,Ed Sheeran
Way 2 Sexy,Drake Featuring Future & Young Thug
Good 4 U,Olivia Rodrigo
Levitating,Dua Lipa
Shivers,Ed Sheeran
Kiss Me More,Doja Cat Featuring SZA
Need To Know,Doja Cat
