Artist,Song
Drake Featuring Lil Durk,Laugh Now Cry Later
Yo Gotti Featuring E-40,Law
Young Thug Featuring Future,Sup Mate
Eminem Featuring Jessie Reyez,Good Guy
Queen,Bohemian Rhapsody
"Metro Boomin Featuring Travis Scott, Kodak Black & 21 Savage",No More
Eminem,Darkness
ScHoolboy Q Featuring Kanye West,THat Part
Chuck Berry,Run Rudolph Run
Juice WRLD,Armed And Dangerous
Wham! Featuring George Michael,Careless Whisper
Meghan Trainor,Me Too
"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",Feels
Migos Featuring Travis Scott,Kelly Price
Logic Featuring Wiz Khalifa,Indica Badu
Brett Young,Here Tonight
Selena Gomez,Kill Em With Kindness
David Bowie,Lazarus
twenty one pilots,Cancer
NF,When I Grow Up
J Balvin,Ginza
FLETCHER,Undrunk
Ariana Grande,Sweetener
Swedish House Mafia & The Weeknd,Moth To A Flame
Nicki Minaj,MEGATRON
AJR,Bang!
Taylor Swift,Cardigan
Selena Gomez,Hands To Myself
Sam Hunt,Make You Miss Me
Meek Mill Featuring Chris Brown & Ty Dolla $ign,Whatever You Need
Lady Gaga,Million Reasons
G-Eazy & Halsey,Him & I
JACKBOYS & Sheck Wes,GANG GANG
Mark Ronson Featuring Bruno Mars,Uptown Funk!
Drake,The Remorse
Kelsea Ballerini,Hole In The Bottle
Big Sean,Why Would I Stop
Gunna Featuring Young Thug,3 Headed Snake
Shakira Featuring Nicky Jam,Perro Fiel
YFN Lucci Featuring PnB Rock,Everyday We Lit
Chris Stapleton,Tennessee Whiskey
Migos,Emoji A Chain
Bebe Rexha,Last Hurrah
Future,Please Tell Me
JACKBOYS Featuring Young Thug,Out West
Calum Scott,Dancing On My Own
Lady Gaga & Bradley Cooper,Shallow
Lady Gaga,Til It Happens To You
Bazzi Featuring Camila Cabello,Beautiful
Doja Cat & Tyga,Juicy
Blake Shelton Duet With Gwen Stefani,Nobody But You
Meghan Trainor,No Excuses
Drake,Ratchet Happy Birthday
Kelsea Ballerini,Dibs
Kanye West,All Mine
Migos Featuring Gucci Mane,Slippery
Taylor Swift Featuring Maren Morris,You All Over Me (Taylor's Version) (From The Vault)
DaBaby,SAD SHIT
Fifth Harmony Featuring Ty Dolla $ign,Work From Home
Juice WRLD,Righteous
Meek Mill Featuring Fabolous & Anuel AA,Uptown Vibes
Surf Mesa Featuring Emilee,ily
Big Sean Featuring Travis Scott,Lithuania
Walker Hayes,You Broke Up With Me
6LACK,Prblms
6ix9ine Featuring Tory Lanez,KIKA
Bad Bunny,Hoy Cobre
DaBaby Featuring Roddy Ricch,Rockstar
Future,Mask Off
A Boogie Wit da Hoodie,Look Back At It
Chris Brown & Young Thug,Go Crazy
Cardi B Featuring Migos,Drip
Tyga & Nicki Minaj,Dip
21 Savage,Break Da Law
Future,One Of My
Dustin Lynch,Small Town Boy
Easton Corbin,A Girl Like You
Lorde,Solar Power
Rascal Flatts,How They Remember You
Trippie Redd Featuring Lil Uzi Vert,Holy Smokes
Kanye West Featuring T,I
Young Thug,Digits
Lil Wayne,Mama Mia
Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane)
Marshmello & Kane Brown,One Thing Right
Ed Sheeran,Castle On The Hill
Juice WRLD,Lucid Dreams
Beyonce,Pray You Catch Me
Cole Swindell,Break Up In The End
blackbear,Do Re Mi
Dustin Lynch,Ridin' Roads
Dustin Lynch,Good Girl
Lil Nas X Featuring Doja Cat,Scoop
Drake,Teenage Fever
Giveon,Like I Want You
Gucci Mane X Bruno Mars X Kodak Black,Wake Up In The Sky
The Weeknd,The Hills
Martin Garrix x Troye Sivan,There For You
Drake,Fucking Fans
Lil Yachty Featuring Ugly God,Boom!
Future Featuring Drake,Used To This
Brad Paisley,Today
Drake,I'm Upset
Bazzi,Paradise
Nicky Jam,El Amante
Morgan Wallen,Still Goin Down
Meek Mill Featuring 21 Savage,Pay You Back
Chris Brown,Little More (Royalty)
Mac Miller,Hand Me Downs
Missy Elliott Featuring Pharrell Williams,WTF (Where They From)
Jhene Aiko,P
Drake,Elevate
Kodak Black Featuring Lil Wayne,Codeine Dreaming
Anuel AA & Bad Bunny,Hasta Que Dios Diga
Post Malone,Takin' Shots
Luke Combs,One Number Away
NAV Featuring The Weeknd,Price On My Head
Tory Lanez,Stupid Again
Russell Dickerson,Yours
Little Mix,Shout Out To My Ex
"Tyler, The Creator",Corso
KIDS SEE GHOSTS,KIDS SEE GHOSTS
Shawn Mendes X Zedd,Lost In Japan
DJ Khaled Featuring Jay Z & Future,I Got The Keys
Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,Baila Baila Baila
Blake Shelton,She's Got A Way With Words
Galantis,No Money
Flo Rida Featuring Jason Derulo,Hello Friday
Becky G Featuring Bad Bunny,Mayores
CJ,Whoopty
Taylor Swift,Epiphany
YoungBoy Never Broke Again,Red Eye
"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",China
Ayo & Teo,Rolex
5 Seconds Of Summer,Easier
Iggy Azalea,Team
Romeo Santos Featuring Nicky Jam & Daddy Yankee,Bella y Sensual
Yo Gotti Featuring Nicki Minaj,Down In The DM
"Tyler, The Creator",Who Dat Boy
Drake,Omerta
Dierks Bentley,Gone
Chase Rice,Whisper
Kelly Clarkson,Love So Soft
Post Malone Featuring Future & Halsey,Die For Me
Juice WRLD x Marshmello,Come & Go
J, Cole
Future,Tycoon
Ed Sheeran,Supermarket Flowers
P!nk,What About Us
Sam Hunt,Drinkin' Too Much
Lady A,Champagne Night
Kehlani Featuring Jhene Aiko,Change Your Life
KIDS SEE GHOSTS,Fire
Juice WRLD,Fast
Ski Mask The Slump God,Foot Fungus
Drake Featuring 21 Savage & Project Pat,Knife Talk
"Cardi B, Bad Bunny & J Balvin",I Like It
Chris Stapleton,Starting Over
Wale Featuring J, Cole
Dae Dae,"Wat U Mean (Aye, Aye, Aye)"
Brett Young,In Case You Didn't Know
Cole Swindell,Flatliner
J, Cole
Quavo Featuring Drake,Flip The Switch
gnash Featuring Olivia O'Brien,I Hate U I Love U
Nicki Minaj,Yikes
Lil Tecca,Out Of Luck
Arcangel x Sech,Sigues Con El
Billie Eilish,Everything I Wanted
Bryson Tiller Featuring Drake,Outta Time
Gucci Mane Featuring Kodak Black & London On Da Track,Big Boy Diamonds
Drake & Yebba,Yebba's Heartbreak
Scotty McCreery,This Is It
Maddie & Tae,Die From A Broken Heart
J, Cole
SZA,Broken Clocks
Blake Shelton Featuring Trace Adkins,Hell Right
Why Don't We,Fallin'
Maroon 5,Memories
Pop Smoke Featuring 21 Savage & 42 Dugg,Bout A Million
Lil Skies Featuring Yung Pinch,I Know You
Lil Nas X,Tales Of Dominica
The Ronettes,Sleigh Ride
Queen & David Bowie,Under Pressure
NAV With Gunna,Young Wheezy
"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",KEKE
Rod Wave,OMDB
J, Cole
21 Savage,ASMR
Dan + Shay,How Not To
Drake,Controlla
Avicii,Wake Me Up!
Linkin Park,In The End
YoungBoy Never Broke Again,Dirty Iyanna
YoungBoy Never Broke Again Featuring Kevin Gates & Quando Rondo,I Am Who They Say I Am
Little Big Town,"Wine, Beer, Whiskey"
Gunna Featuring Playboi Carti,Same Yung N
Alessia Cara,Wild Things
"Tyler, The Creator",Puppet
Nicky Jam,With You Tonight 
Normani Featuring Cardi B,Wild Side
Jameson Rodgers,Some Girls
Drake,Sandra's Rose
XXXTENTACION,I Don't Let Go
Shawn Mendes,Wonder
Ty Dolla $ign Featuring Future & Rae Sremmurd,Blase
The Weeknd,Hardest To Love
Alice Merton,No Roots
Morgan Wallen,Warning
Travis Scott,Astrothunder
JAY-Z,The Story Of O
NAV Featuring Meek Mill,Tap
Kendrick Lamar,Element
Lil Baby,Close Friends
Jason Aldean & Carrie Underwood,If I Didn't Love You
Adam Wakefield,Lonesome Broken And Blue
Devin Dawson,All On Me
Lil Baby & Gunna Featuring Drake,Never Recover
Drake,Nothings Into Somethings
"Tyler, The Creator",Lumberjack
Dan + Shay,Speechless
Lil Uzi Vert Featuring Pharrell Williams,Neon Guts
Kid Cudi,Tequila Shots
Young Thug With J, Cole & T-Shyne
Luke Bryan,One Margarita
Granger Smith,If The Boot Fits
Luke Bryan,Most People Are Good
Gunna,Nasty Girl 
Eli Young Band,Love Ain't
JAY-Z Featuring Beyonce,Family Feud
"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Te Bote
Big Sean,Halfway Off The Balcony
Rod Wave,Street Runner
Ellie Goulding,On My Mind
DaBaby,PROLLY HEARD
Sam Smith Featuring Logic,Pray
DaBaby Featuring Ashanti & Megan Thee Stallion,NASTY
Billie Eilish,I Didn't Change My Number
Logic,44 More
Kehlani,CRZY
Kehlani,Distraction
Mac Miller,Good News
Luke Combs,When It Rains It Pours
Kendrick Lamar,DNA
Shakira Featuring Maluma,Chantaje
Billie Eilish,You Should See Me In A Crown
Lil Wayne,Mahogany
Harry Styles,Watermelon Sugar
Maren Morris,I Could Use A Love Song
YoungBoy Never Broke Again,Knocked Off
Maroon 5 Featuring SZA,What Lovers Do
Ariana Grande,R
