Artist,Song,Genre
Drake Featuring Lil Durk,Laugh Now Cry Later,hiphop
Yo Gotti Featuring E-40,Law,hiphop
Young Thug Featuring Future,Sup Mate,hiphop
Eminem Featuring Jessie Reyez,Good Guy,hiphop
Queen,Bohemian Rhapsody,rock
"Metro Boomin Featuring Travis Scott, Kodak Black & 21 Savage",No More,hiphop
Eminem,Darkness,hiphop
ScHoolboy Q Featuring Kanye West,THat Part,hiphop
Chuck Berry,Run Rudolph Run,rock
Juice WRLD,Armed And Dangerous,hiphop
Wham! Featuring George Michael,Careless Whisper,pop
Meghan Trainor,Me Too,pop
"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",Feels,pop
Migos Featuring Travis Scott,Kelly Price,hiphop
Logic Featuring Wiz Khalifa,Indica Badu,hiphop
Brett Young,Here Tonight,country
Selena Gomez,Kill Em With Kindness,pop
David Bowie,Lazarus,rock
twenty one pilots,Cancer,rock
NF,When I Grow Up,hiphop
J Balvin,Ginza,reggae
FLETCHER,Undrunk,pop
Ariana Grande,Sweetener,pop
Swedish House Mafia & The Weeknd,Moth To A Flame,pop
Nicki Minaj,MEGATRON,hiphop
AJR,Bang!,pop
Taylor Swift,Cardigan,pop
Selena Gomez,Hands To Myself,pop
Sam Hunt,Make You Miss Me,country
Meek Mill Featuring Chris Brown & Ty Dolla $ign,Whatever You Need,hiphop
Lady Gaga,Million Reasons,pop
G-Eazy & Halsey,Him & I,pop
JACKBOYS & Sheck Wes,GANG GANG,hiphop
Mark Ronson Featuring Bruno Mars,Uptown Funk!,pop
Drake,The Remorse,hiphop
Kelsea Ballerini,Hole In The Bottle,country
Big Sean,Why Would I Stop,hiphop
Gunna Featuring Young Thug,3 Headed Snake,hiphop
Shakira Featuring Nicky Jam,Perro Fiel,reggae
YFN Lucci Featuring PnB Rock,Everyday We Lit,hiphop
Chris Stapleton,Tennessee Whiskey,country
Migos,Emoji A Chain,hiphop
Bebe Rexha,Last Hurrah,pop
Future,Please Tell Me,hiphop
JACKBOYS Featuring Young Thug,Out West,hiphop
Calum Scott,Dancing On My Own,pop
Lady Gaga & Bradley Cooper,Shallow,pop
Lady Gaga,Til It Happens To You,pop
Bazzi Featuring Camila Cabello,Beautiful,pop
Doja Cat & Tyga,Juicy,hiphop
Blake Shelton Duet With Gwen Stefani,Nobody But You,country
Meghan Trainor,No Excuses,pop
Drake,Ratchet Happy Birthday,hiphop
Kelsea Ballerini,Dibs,country
Kanye West,All Mine,hiphop
Migos Featuring Gucci Mane,Slippery,hiphop
Taylor Swift Featuring Maren Morris,You All Over Me (Taylor's Version) (From The Vault),country
DaBaby,SAD SHIT,hiphop
Fifth Harmony Featuring Ty Dolla $ign,Work From Home,pop
Juice WRLD,Righteous,hiphop
Meek Mill Featuring Fabolous & Anuel AA,Uptown Vibes,hiphop
Surf Mesa Featuring Emilee,ily,pop
Big Sean Featuring Travis Scott,Lithuania,hiphop
Walker Hayes,You Broke Up With Me,country
6LACK,Prblms,hiphop
6ix9ine Featuring Tory Lanez,KIKA,hiphop
Bad Bunny,Hoy Cobre,reggae
DaBaby Featuring Roddy Ricch,Rockstar,hiphop
Future,Mask Off,hiphop
A Boogie Wit da Hoodie,Look Back At It,hiphop
Chris Brown & Young Thug,Go Crazy,hiphop
Cardi B Featuring Migos,Drip,hiphop
Tyga & Nicki Minaj,Dip,hiphop
21 Savage,Break Da Law,hiphop
Future,One Of My,hiphop
Dustin Lynch,Small Town Boy,country
Easton Corbin,A Girl Like You,country
Lorde,Solar Power,pop
Rascal Flatts,How They Remember You,country
Trippie Redd Featuring Lil Uzi Vert,Holy Smokes,hiphop
Kanye West Featuring T,I,hiphop
Young Thug,Digits,hiphop
Lil Wayne,Mama Mia,hiphop
Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane),country
Marshmello & Kane Brown,One Thing Right,country
Ed Sheeran,Castle On The Hill,pop
Juice WRLD,Lucid Dreams,hiphop
Beyonce,Pray You Catch Me,pop
Cole Swindell,Break Up In The End,country
blackbear,Do Re Mi,hiphop
Dustin Lynch,Ridin' Roads,country
Dustin Lynch,Good Girl,country
Lil Nas X Featuring Doja Cat,Scoop,hiphop
Drake,Teenage Fever,hiphop
Giveon,Like I Want You,hiphop
Gucci Mane X Bruno Mars X Kodak Black,Wake Up In The Sky,hiphop
The Weeknd,The Hills,hiphop
Martin Garrix x Troye Sivan,There For You,pop
Drake,Fucking Fans,hiphop
Lil Yachty Featuring Ugly God,Boom!,hiphop
Future Featuring Drake,Used To This,hiphop
Brad Paisley,Today,country
Drake,I'm Upset,hiphop
Bazzi,Paradise,pop
Nicky Jam,El Amante,reggae
Morgan Wallen,Still Goin Down,country
Meek Mill Featuring 21 Savage,Pay You Back,hiphop
Chris Brown,Little More (Royalty),pop
Mac Miller,Hand Me Downs,hiphop
Missy Elliott Featuring Pharrell Williams,WTF (Where They From),hiphop
